"raw_portfolio","ftp_category","ftp_model_portfolio","ftp_curve","behavioral_model","liquidity_treatment","funding_role","notes"
"structured_notes_fair_value","fair_value_funding","structured_notes_fair_value","structured_note_curve","structured_funding","market_funding","liability_provides_funding","Structured note funding."
"investment_contract_liabilities","fair_value_funding","investment_contract_liabilities","investment_contract_curve","insurance_like_balance","market_funding","liability_provides_funding","Investment contract liabilities."
"other_fair_value_funding","fair_value_funding","other_fair_value_funding","market_funding_curve","structured_funding","market_funding","liability_provides_funding","Other fair value funding."
"commercial_paper","short_term_wholesale_funding","commercial_paper","money_market_curve","contractual_short_term","wholesale_funding","liability_provides_funding","Commercial paper funding."
"certificates_of_deposit","short_term_wholesale_funding","certificates_of_deposit","money_market_curve","contractual_short_term","wholesale_funding","liability_provides_funding","Certificates of deposit."
"other_short_term_borrowings","short_term_wholesale_funding","other_short_term_borrowings","money_market_curve","contractual_short_term","wholesale_funding","liability_provides_funding","Other short-term wholesale funding."
"settlement_payables","operating_liabilities","settlement_payables","operational_funding_curve","operational_balance","operational_liquidity","liability_provides_funding","Settlement payables."
"accruals_and_expense_payables","operating_liabilities","accruals_and_expense_payables","operational_funding_curve","operational_balance","operational_liquidity","liability_provides_funding","Accruals and expense payables."
"provisions","structural_liabilities","provisions","equity_or_capital_allocation","structural","structural_funding","liability_provides_funding","Provisions."
"tax_liabilities","structural_liabilities","tax_liabilities","equity_or_capital_allocation","structural","structural_funding","liability_provides_funding","Tax liabilities."
"other_liabilities","operating_liabilities","other_liabilities","operational_funding_curve","operational_balance","operational_liquidity","liability_provides_funding","Other liabilities."
"senior_unsecured_debt","long_term_wholesale_funding","senior_unsecured_debt","term_unsecured_funding_curve","contractual_term_funding","wholesale_funding","liability_provides_funding","Senior unsecured debt."
"covered_bonds","long_term_wholesale_funding","covered_bonds","covered_bond_curve","contractual_term_funding","secured_funding","liability_provides_funding","Covered bonds."
"subordinated_debt","capital_funding","subordinated_debt","subordinated_debt_curve","contractual_term_funding","capital_funding","liability_provides_funding","Subordinated debt."
"trust_preferred_securities","capital_funding","trust_preferred_securities","subordinated_debt_curve","contractual_term_funding","capital_funding","liability_provides_funding","Trust preferred securities."
